#
164519,67,161,10,885,162,1328,0.475	
162899,99,132,8,922,189,1306,0.40625	
151618,76,159,10,1025,127,1252,0.5	
164435,120,162,9,955,169,1290,0.4444444444444444	
155011,125,142,9,889,189,1368,0.5277777777777778	
167403,65,137,12,855,146,1342,0.5416666666666667	
173904,186,132,12,1168,146,1200,0.5208333333333333	
164774,216,149,8,1071,172,1297,0.375	
163707,57,162,13,782,150,1422,0.5192307692307692	
158530,166,131,10,863,137,1442,0.525	
151301,143,129,9,899,170,1379,0.5	
155514,40,149,9,823,177,1312,0.41666666666666663	
161828,108,158,11,942,133,1345,0.5454545454545454	
159275,93,163,10,814,133,1448,0.5	
158715,103,141,12,779,131,1449,0.45833333333333337	
160951,132,176,10,967,157,1312,0.44999999999999996	
