f1,f2,f3,f4,f5,f6,f7,f8
172643,406,153,12,1486,48,1191,0.7651515151515151	
157111,245,115,7,1661,147,792,0.6623376623376623	
144790,32,154,10,1025,126,1161,0.8	
170409,406,153,12,1469,54,1199,0.7651515151515151	
155674,464,147,7,1904,147,797,0.6103896103896104	
151960,252,111,10,1369,154,1126,0.7636363636363637	
153428,454,112,10,1517,149,1154,0.7363636363636363	
169622,119,141,13,765,100,1530,0.8321678321678322	
163154,69,158,9,818,148,1396,0.7777777777777778	
163414,635,173,12,1707,77,1215,0.7803030303030303	
161258,240,118,7,1608,158,835,0.6753246753246753	
157931,303,174,8,1651,154,879,0.6931818181818181	
167527,283,162,11,1361,88,1161,0.7603305785123967	
167087,91,126,11,846,113,1444,0.8181818181818181	
137616,320,127,9,1504,173,971,0.7575757575757576	
153180,781,135,7,2069,112,996,0.6233766233766234	
170561,321,165,11,1239,90,1329,0.7933884297520661	
140165,350,129,13,1311,153,1201,0.8181818181818181	
168264,438,156,9,1567,128,1111,0.7070707070707071	
138536,581,146,9,1807,119,1047,0.6767676767676767	
150918,389,133,8,1183,150,1366,0.7159090909090909	
141852,254,127,10,1224,127,1240,0.7454545454545455	
148773,71,158,11,1062,121,1172,0.8181818181818181	
148746,462,151,8,1500,105,1208,0.7272727272727273	
144321,166,144,7,1106,147,1221,0.7272727272727273	
147319,275,156,8,1156,124,1344,0.7727272727272727	
151072,123,158,11,874,114,1437,0.7768595041322314	
151872,92,147,11,924,149,1318,0.8181818181818181	
147905,271,155,10,1354,116,1157,0.7636363636363637	
126599,52,162,7,848,162,1340,0.7792207792207793	
183242,26,156,14,734,128,1413,0.8311688311688312	
154784,278,96,12,1183,149,1266,0.7803030303030303	
141210,510,162,5,1754,171,1011,0.6363636363636364	
180631,80,154,14,678,117,1540,0.8441558441558441	
175821,154,164,17,988,56,1391,0.8502673796791445	
161455,368,171,13,1772,121,842,0.7972027972027972	
157597,380,171,12,1754,130,876,0.7954545454545454	
148461,464,115,7,1372,131,1320,0.7272727272727273	
154840,31,130,9,745,134,1397,0.8181818181818181	
162011,278,141,10,1579,113,951,0.7181818181818181	
141526,71,145,6,878,166,1325,0.7424242424242424	
161835,469,174,10,1745,117,993,0.7363636363636363	
128974,116,167,11,976,153,1307,0.8264462809917356	
128008,78,167,8,939,163,1287,0.8068181818181819	
128305,155,167,8,1250,160,1087,0.75	
131401,186,174,8,1224,146,1154,0.7613636363636364	
131114,173,168,8,1048,160,1272,0.7954545454545454	
132702,171,152,7,1142,147,1227,0.7662337662337663	
132093,116,167,12,973,145,1318,0.8409090909090909	
131949,198,167,10,1070,159,1289,0.8272727272727273	
135396,50,140,7,770,139,1415,0.8051948051948052	
146074,46,168,13,847,134,1333,0.8391608391608392	
139617,49,152,8,1104,148,1079,0.75	
149453,59,168,12,813,125,1398,0.8484848484848485	
144144,75,167,10,911,132,1323,0.8090909090909091	
174594,149,160,14,814,95,1519,0.8376623376623377	
159372,84,129,11,908,132,1315,0.7768595041322314	
149889,105,147,9,975,136,1303,0.797979797979798	
155064,155,125,9,1266,142,1051,0.7575757575757576	
134028,121,152,7,1046,163,1227,0.7532467532467533	
147089,38,141,11,831,138,1329,0.8099173553719008	
154734,147,159,11,953,116,1376,0.7933884297520661	
146228,46,141,10,741,145,1432,0.8454545454545455	
144860,121,168,10,975,129,1323,0.8181818181818181	
123933,228,150,6,1303,195,1069,0.6818181818181819	
176648,13,156,13,748,129,1382,0.8251748251748252	
138621,494,77,5,1697,170,1019,0.5818181818181818	
136051,484,83,5,1764,202,917,0.6	
141771,63,115,8,621,197,1518,0.8181818181818181	
180385,227,154,12,1238,84,1225,0.7878787878787878	
155069,428,173,9,1863,141,859,0.7070707070707071	
124013,228,150,6,1281,203,1085,0.696969696969697	
135054,61,124,7,886,128,1325,0.7402597402597403	
172161,351,166,12,1497,87,1095,0.7575757575757576	
145974,22,150,11,730,156,1397,0.8016528925619835	
148837,503,145,8,1870,165,863,0.7159090909090908	
147621,167,82,7,1089,199,1188,0.7402597402597403	
154471,65,156,12,660,150,1513,0.8484848484848485	
145230,67,119,9,663,196,1486,0.8282828282828283	
142196,71,107,8,683,192,1496,0.7954545454545454	
148755,65,156,10,704,158,1465,0.8272727272727273	
169226,59,148,12,740,105,1487,0.8333333333333334	
138360,77,142,9,994,147,1224,0.797979797979798	
174974,34,156,12,887,122,1303,0.8181818181818182	
125142,235,155,6,1302,195,1081,0.6818181818181819	
136927,86,130,8,1021,163,1216,0.7954545454545454	
138076,82,152,8,1043,142,1203,0.7727272727272727	
140244,79,158,7,1105,148,1142,0.7402597402597403	
143824,77,135,11,1018,154,1212,0.8181818181818181	
150049,78,149,10,992,140,1226,0.8	
154321,487,142,10,1847,166,886,0.7454545454545455	
132773,253,94,7,1423,183,980,0.7532467532467533	
171048,353,164,10,1222,89,1385,0.7909090909090909	
136073,484,91,5,1764,207,912,0.6	
142004,276,86,7,1303,180,1123,0.7142857142857143	
162589,751,176,7,1841,133,1137,0.6493506493506493	
175350,75,120,11,811,92,1452,0.7933884297520661	
151961,441,108,7,1741,160,920,0.6623376623376623	
140877,154,117,7,1174,157,1137,0.7532467532467533	
164296,241,161,10,1535,142,923,0.7272727272727273	
135607,241,132,7,1435,187,963,0.7402597402597402	
146210,168,157,11,1262,132,1061,0.8181818181818181	
157745,101,152,10,1004,156,1231,0.7545454545454545	
158851,272,158,8,1504,163,949,0.7045454545454546	
168331,224,153,12,1477,149,971,0.7348484848484849	
168071,251,143,12,1479,120,973,0.7575757575757576	
166290,158,155,9,1207,140,1133,0.7171717171717171	
160196,116,150,9,1011,117,1284,0.7676767676767677	
147166,300,134,13,1335,166,1109,0.8181818181818181	
136984,243,156,8,1354,172,1038,0.7386363636363636	
156604,129,162,9,981,149,1283,0.7777777777777778	
