f1,f2,f3,f4,f5,f6,f7,f8
159196.0,100.0,148.0,9.0,991.0,151.0,1293.0,0.5
165131.0,269.0,152.0,11.0,1409.0,129.0,1074.0,0.4772727272727273
163552.0,198.0,168.0,10.0,1043.0,159.0,1305.0,0.44999999999999996
155628.0,170.0,175.0,10.0,979.0,139.0,1388.0,0.55
151579.0,219.0,129.0,9.0,1234.0,130.0,1182.0,0.4722222222222222
169491.0,225.0,162.0,15.0,988.0,151.0,1380.0,0.5833333333333333
179197.0,66.0,160.0,15.0,690.0,137.0,1530.0,0.6
172450.0,142.0,161.0,12.0,1072.0,158.0,1208.0,0.5
163908.0,178.0,159.0,12.0,909.0,142.0,1420.0,0.5625
181550.0,172.0,156.0,13.0,880.0,158.0,1445.0,0.5384615384615384
161004.0,185.0,171.0,12.0,971.0,148.0,1378.0,0.5625
163270.0,85.0,143.0,12.0,952.0,150.0,1261.0,0.5
161588.0,109.0,156.0,12.0,894.0,166.0,1320.0,0.5833333333333333
178881.0,216.0,161.0,12.0,1008.0,129.0,1400.0,0.47916666666666663
160463.0,110.0,143.0,8.0,914.0,159.0,1338.0,0.375
167394.0,230.0,165.0,12.0,968.0,157.0,1407.0,0.625
172155.0,257.0,164.0,14.0,1136.0,131.0,1297.0,0.5357142857142857
166125.0,111.0,156.0,10.0,835.0,127.0,1438.0,0.525
158821.0,237.0,163.0,9.0,1097.0,163.0,1284.0,0.4444444444444444
161770.0,369.0,160.0,10.0,1220.0,147.0,1343.0,0.44999999999999996
165272.0,276.0,131.0,11.0,1077.0,122.0,1369.0,0.5227272727272727
166451.0,299.0,162.0,13.0,1014.0,118.0,1441.0,0.5192307692307692
181763.0,170.0,167.0,11.0,949.0,165.0,1369.0,0.5
173655.0,148.0,169.0,12.0,1060.0,108.0,1321.0,0.5208333333333333
170512.0,192.0,131.0,10.0,1042.0,131.0,1326.0,0.4
179788.0,73.0,161.0,13.0,797.0,130.0,1430.0,0.5
177218.0,208.0,160.0,12.0,1203.0,112.0,1214.0,0.5
180539.0,114.0,150.0,12.0,911.0,124.0,1375.0,0.45833333333333337
173909.0,239.0,160.0,11.0,1099.0,157.0,1302.0,0.4545454545454546
163658.0,317.0,158.0,9.0,1303.0,202.0,1159.0,0.38888888888888884
151800.0,233.0,148.0,9.0,1069.0,211.0,1249.0,0.5
163213.0,266.0,141.0,10.0,1171.0,171.0,1250.0,0.44999999999999996
174205.0,269.0,126.0,11.0,1227.0,133.0,1214.0,0.5
175906.0,369.0,166.0,11.0,1161.0,142.0,1409.0,0.5227272727272727
172094.0,421.0,136.0,9.0,1234.0,136.0,1409.0,0.4444444444444444
175033.0,344.0,128.0,12.0,1116.0,119.0,1451.0,0.5416666666666667
174363.0,313.0,168.0,11.0,1066.0,124.0,1456.0,0.5
179351.0,326.0,143.0,11.0,1163.0,160.0,1317.0,0.4545454545454546
177853.0,207.0,161.0,11.0,978.0,149.0,1397.0,0.5454545454545454
163989.0,312.0,147.0,9.0,1251.0,169.0,1213.0,0.41666666666666663
162796.0,200.0,156.0,11.0,1067.0,156.0,1263.0,0.5227272727272727
166762.0,181.0,162.0,13.0,906.0,141.0,1458.0,0.5961538461538461
168103.0,192.0,166.0,13.0,1019.0,117.0,1379.0,0.5192307692307692
158480.0,276.0,157.0,10.0,1074.0,173.0,1364.0,0.475
162570.0,256.0,136.0,9.0,1111.0,128.0,1379.0,0.4722222222222222
167747.0,164.0,158.0,13.0,982.0,126.0,1360.0,0.5769230769230769
166442.0,132.0,173.0,12.0,971.0,161.0,1326.0,0.4375
163753.0,388.0,138.0,8.0,1322.0,129.0,1289.0,0.3125
171391.0,245.0,151.0,13.0,1094.0,145.0,1334.0,0.5384615384615384
175522.0,118.0,148.0,11.0,823.0,109.0,1463.0,0.5227272727272727
181437.0,237.0,134.0,14.0,1071.0,104.0,1400.0,0.5357142857142857
177408.0,290.0,167.0,11.0,998.0,129.0,1475.0,0.40909090909090906
162496.0,212.0,175.0,11.0,1070.0,175.0,1303.0,0.5227272727272727
159858.0,168.0,135.0,11.0,917.0,167.0,1410.0,0.5681818181818181
157753.0,59.0,144.0,10.0,1017.0,147.0,1230.0,0.44999999999999996
170436.0,258.0,145.0,12.0,1109.0,161.0,1317.0,0.5416666666666667
183429.0,302.0,166.0,9.0,1205.0,177.0,1269.0,0.36111111111111116
164054.0,282.0,161.0,9.0,1193.0,164.0,1253.0,0.41666666666666663
175379.0,195.0,155.0,12.0,1053.0,134.0,1318.0,0.5
169097.0,276.0,169.0,9.0,1207.0,149.0,1236.0,0.41666666666666663
166785.0,401.0,162.0,8.0,1307.0,171.0,1260.0,0.4375
164244.0,127.0,157.0,11.0,1050.0,150.0,1250.0,0.5227272727272727
182139.0,319.0,169.0,12.0,1071.0,132.0,1403.0,0.5
170234.0,189.0,159.0,11.0,902.0,156.0,1422.0,0.5681818181818181
164399.0,177.0,165.0,10.0,897.0,153.0,1396.0,0.44999999999999996
178071.0,328.0,167.0,12.0,996.0,133.0,1512.0,0.5
165703.0,425.0,167.0,11.0,1173.0,123.0,1457.0,0.5227272727272727
168959.0,118.0,158.0,12.0,926.0,174.0,1340.0,0.5
155397.0,125.0,141.0,11.0,891.0,148.0,1377.0,0.5
166027.0,96.0,153.0,12.0,995.0,136.0,1266.0,0.47916666666666663
174479.0,256.0,167.0,13.0,1052.0,156.0,1364.0,0.5192307692307692
150795.0,154.0,122.0,6.0,1045.0,149.0,1271.0,0.16666666666666663
153542.0,165.0,161.0,8.0,1043.0,141.0,1306.0,0.34375
163057.0,110.0,142.0,11.0,933.0,137.0,1324.0,0.5
175461.0,304.0,152.0,13.0,1134.0,158.0,1336.0,0.5192307692307692
156662.0,85.0,157.0,8.0,890.0,148.0,1367.0,0.375
159263.0,140.0,159.0,12.0,928.0,165.0,1336.0,0.5208333333333333
166536.0,149.0,174.0,11.0,777.0,163.0,1507.0,0.5909090909090908
160588.0,129.0,174.0,12.0,917.0,113.0,1398.0,0.5625
174485.0,115.0,147.0,13.0,1096.0,166.0,1148.0,0.5
171148.0,237.0,168.0,10.0,1111.0,159.0,1278.0,0.4
163599.0,72.0,150.0,9.0,911.0,145.0,1296.0,0.4444444444444444
168922.0,153.0,134.0,8.0,992.0,189.0,1275.0,0.40625
186018.0,165.0,162.0,12.0,1067.0,129.0,1303.0,0.5416666666666667
159697.0,249.0,149.0,10.0,1072.0,189.0,1293.0,0.44999999999999996
149850.0,154.0,136.0,8.0,1091.0,160.0,1212.0,0.4375
155520.0,132.0,167.0,10.0,1042.0,176.0,1235.0,0.42500000000000004
161363.0,34.0,144.0,13.0,845.0,138.0,1313.0,0.5192307692307692
177338.0,284.0,163.0,10.0,1274.0,166.0,1200.0,0.42500000000000004
174975.0,94.0,146.0,10.0,1012.0,112.0,1281.0,0.475
167070.0,194.0,153.0,13.0,1004.0,147.0,1380.0,0.5576923076923077
165854.0,310.0,159.0,9.0,1140.0,162.0,1335.0,0.4444444444444444
169135.0,288.0,150.0,12.0,1023.0,151.0,1438.0,0.5625
173470.0,94.0,155.0,11.0,993.0,121.0,1285.0,0.4545454545454546
169303.0,200.0,134.0,10.0,928.0,105.0,1468.0,0.44999999999999996
179820.0,145.0,159.0,13.0,881.0,151.0,1399.0,0.5
164399.0,87.0,161.0,12.0,991.0,118.0,1250.0,0.41666666666666663
171566.0,184.0,140.0,10.0,903.0,171.0,1412.0,0.575
171118.0,277.0,143.0,12.0,1040.0,150.0,1391.0,0.5208333333333333
173145.0,388.0,158.0,13.0,1161.0,156.0,1388.0,0.5384615384615384
171647.0,359.0,130.0,13.0,1097.0,144.0,1437.0,0.5769230769230769
172070.0,187.0,168.0,10.0,1092.0,153.0,1269.0,0.475
175249.0,277.0,171.0,10.0,1178.0,198.0,1246.0,0.42500000000000004
171080.0,276.0,171.0,10.0,985.0,134.0,1464.0,0.525
172597.0,181.0,160.0,14.0,940.0,164.0,1397.0,0.6071428571428572
187375.0,352.0,156.0,11.0,1093.0,150.0,1424.0,0.4545454545454546
179721.0,135.0,157.0,13.0,999.0,115.0,1300.0,0.4807692307692307
165796.0,154.0,156.0,12.0,907.0,155.0,1372.0,0.6041666666666667
161247.0,260.0,156.0,11.0,1224.0,149.0,1212.0,0.4772727272727273
161240.0,240.0,167.0,8.0,1221.0,133.0,1223.0,0.40625
159574.0,291.0,156.0,10.0,1052.0,151.0,1418.0,0.5
159647.0,232.0,164.0,10.0,874.0,135.0,1537.0,0.5
164525.0,352.0,155.0,11.0,1258.0,164.0,1307.0,0.4772727272727273
181647.0,174.0,164.0,14.0,951.0,140.0,1371.0,0.5535714285714286
155906.0,184.0,160.0,10.0,1124.0,128.0,1266.0,0.525
170046.0,198.0,157.0,9.0,996.0,123.0,1376.0,0.38888888888888884
172618.0,67.0,158.0,13.0,936.0,138.0,1272.0,0.5576923076923077
161677.0,174.0,173.0,10.0,920.0,121.0,1446.0,0.44999999999999996
167084.0,184.0,170.0,12.0,1002.0,131.0,1375.0,0.47916666666666663
